short_description,cmdb_ci
Tronweb-Multiple errors for the new fields added to MICFL & MIC80 - ISO REPORTING,TronWeb - Reports
01046475619 (This is impacting quotes in all LOBs)Full quote are not being downloaded properly into ECM under the quote number,AFE
Fireline Score Correction for Zip Code Level Scores,TronWeb - Issue
Good Driver discount given for a suspended license and,TronWeb - Issue
Tronweb Renewal - incomplete print produced for,TronWeb - Print
report MMAGC0682 and MMAGC00683 are not functioning as expected,TronWeb - Treasury
MAPFRE - CA Commercial Auto Data Elements Missing From Product Setup Table,NCL Cover-All - Issue
Cannot open a Cov A suffix for claim - Coverage 6084 is getting dropped unexpectedly,AFE
FL Gear 5201070015343 loss not populating,AFE
Issue with 2 reports in tw - report mmagc00884 (corportae) and mmaem01850,TronWeb - Reports
LexisNexis - Alert: More percentage of formatting errors than normal for LOB = Mortgage - for Customer : MAPFRE INSURANCE COMPANY,TronWeb - Interface
CWIC TW SAP Interface Discrepancies ? April 2017,TronWeb - Reports
Payment orders exempt after paid. Same problem that the INC1463250,TronWeb - Treasury
8001010062585 Invoicing/Pending Cancel Issue,TronWeb - Treasury
CANNOT APPLY ADVANCED COLLECTIONS,TronWeb - Treasury
8001010050603 / STEWART-PREMIUM INCREASE WHEN ADDING A,TronWeb - Issue
July 2017 Tronweb Reporting discrepancies - Company 80 written premium year to date do not agree with the roll forward,TronWeb - Reports
TW PROD SUPPORT - PLSP MIC 80 PREM $548.00 OOB 7/17,TronWeb - Reports
HSB-Tronweb-Homeowner July 2017 data OOB,TronWeb - Reports
SPP LIMITS NOT PRINTING ON ENDORSEMENT,TronWeb - Print
Glen Racicot is questiong why OT shows on this report- Claim#80010815000147,TronWeb - Interface
OOB TRONWEB MOnthly Premium Spreadsheet for August 2017,TronWeb - Reports
MTD Tronweb Losses  Out of Balances for August,TronWeb - Reports
Tronweb  Losses  Daily Out of Balances for August 2017,TronWeb - Reports
8001060000228 deductible credit for the peace of mind package is not functioning correctly,TronWeb - Issue
Rating issue - TRONWEB renewal rating all vehicles as excess,TronWeb - Issue
TRONWEB-ISO Reporting issue with claimant counts,TronWeb - Reports
ISO Stat Reporting - MIC80 CA Personal Inland Marine 9/17 OOB,TronWeb - Reports
Tronweb - Reserve OOB 9/2017 between 892 & 360 reports,TronWeb - Reports
OOBs on attached TronWeb Monthly Losses spreadsheet for September 2017.,TronWeb - Reports
FL Gear Renewal - 5201070005319 Class Code - Premium Increased,TronWeb - Issue
CWIC TW - AdvCr Cashier 8/19/17,TronWeb - Treasury
Blank TXT_PREDICTIVE_STATUS responses in the A2009560_MMA table. Enterprise DB has the values. UI sending blank value / no service layer issue.,AFE
OTC $0 deductible not rating correctly,TronWeb - Issue
Hand Held Violation Populating as Careless Driving in Tronweb,AFE
Policies Are Not cancelling,TronWeb - Issue
"MICF TW 12/21/17 IN001 Related Positive Difference of $1,749.93",TronWeb - Treasury
MAPFRE - TronWeb Monthly Commissions fro December 2017 OOB.,TronWeb - Reports
TW Claim Payment Transfer error when attempting to approve claim 52010717002370,TronWeb - Claims
New Problem / FL027528 /5201070006979/ Agent adding good student discount and premium increased,TronWeb - Issue
AFE Question on View Confirmation form added to Docusign Packet,AFE
8006010008395- forms HO 24 82 05 11 and HO 04 95 05 11 were not printed along with dec page.,TronWeb - Print
6401040084800 renewal print defect: renewal offer printed with the annual miles listed on the policy not the validated miles.,TronWeb - Print
Tronweb - FL personal auto OTC/COL symbol errors,TronWeb - Reports
PROD: INC1577268,TronWeb - Print
FL High Value Rating Errors- Compliance,TronWeb - Issue
8006010014949 - Processed Non Bearing Endorsement and premium increased by $9,TronWeb - Issue
web methods disposition defect,TronWeb - Issue
TW ISSUE - Multi Policy Discount Falling off on Renewal,TronWeb - Issue
MAPFRE - Tronweb mapping issue with PIP Deductible?,NCL Cover-All - Issue
Coverall not lifting pending cancel in tronweb.,NCL Cover-All - Issue
TronWeb - incorrect rating_Excluded Operator 6401040076400,TronWeb - Issue
Missing Coverage Endorsements on Homeowners Dec,TronWeb - Print
PA Auto Multi Policy Discount- Compliance,TronWeb - Issue
STAT - TRONWEB - Invalid limit for Medical coverage,TronWeb - Reports
6401040016227- AFE_economy endorsement dropped midterm,AFE
TW Issue - 8001060003539 - Excluded Operator Error,TronWeb - Issue
8006010006018- Lucinda huang - I processed a Non-Premium Endorsement and premium increased,TronWeb - Issue
BOA  Reports  MMAGC00425  and   MMAGC01680,TronWeb - Reports
8001060007234  policy is surcharging for accident and should not be,TronWeb - Issue
Mapfre - 8004010003871 - duplicating cancellation notices ,NCL Cover-All - Issue
6401040062148 - UM form was generated unnecessarily,AFE
TW manual refund check issued in name on prior manual refund check,TronWeb - Treasury
Driver Age_ Driver Rated Driver Age_Not Re-Calculating when DOB is Changed,TronWeb - Issue
STATS - TRONWEB MICFL Type of loss NO-fault errors N302,TronWeb - Reports
Tronweb MA - ADVCR applied advance collection money to a policy but failed to cancel the advance,TronWeb - Treasury
Validatd Mileage_AFE_Carfax re-ordering for existing Risks during Endorsement,AFE
new problem/afe/az/az027963/8001060006358/ORA error occurring in endorsement to add driver and vehicle- mandatory field,AFE
TW NCL claim 52040818000022 cannot open an OPD suffix as claim coverage 4845 has been removed in error,TronWeb - Claims
Tronweb ISO performance issue,TronWeb - Performance
TW Issue - HASP discount changing to yes during endorsement,TronWeb - Issue
0601803376777 - Change in  HO 04 27 Limit is not adjusting the premium ,AFE
COM notice showing duplicate policies,TronWeb - Print
New Problem/AFE/CA/170/8001010007048-When camper is in position two and position 1 veh is deleted it causes errors,AFE
8006040002966- New Business Observation TC 6553 fired but Clue Report Imaged in ECM,AFE
New Problem/Ca019888/AFE/8006010030010 - agent adding mortgagee only but summary shows more,AFE
"8001010009771, TC 9571 fired for this renewal. Neither driver has any activity ",TronWeb - Issue
PA/3072/8001080006594/ agent changing lien address and gets a $92 credit,TronWeb - Issue
Stats - ISO Tronweb MIC 80 paid loss flat file getting blank model year on Peace of mind,TronWeb - Reports
Claims 800108170000006 and 800108160000346 - Immediate accident forgiveness give twice to 1 driver ,TronWeb - Claims
Manual checks have county printing as city ,TronWeb - Print
8006040002977_POLICY CXL DATE SHOULD OF BEEN 06/29/18,TronWeb - Issue
TW Production Support - Personal Lines DW - ISO Edit G141,TronWeb - Reports
Company 64 & 52 Tronweb Discrepancy,TronWeb - Reports
8001010049110 Liab symbols are missing - Collision symbols are incorrect.,TronWeb - Issue
TW Issue -  Endors/Renewal Dec issued with wrong Driving Record points,TronWeb - Print
Current Carrier Rejections,TronWeb - Interface
"8001080007533_PA Auto TRCF_pol is incr 37%, but capping should happen at 30%",TronWeb - Issue
TW Issue -- Multi Car Discount should not apply,TronWeb - Print
FEC_EMISION_SPTO field is not updated during policy unlock in a specific scenario,TronWeb - Issue
5201070009786 - Pay Plan is not available when trying to endorse policy,AFE
INC1604001-New Problem/AFE/AZ/90266/0605800021526- Agent has multiple HO4 new biz quotes when you add guaranteed replacement endorsement it goes to,AFE
TW - CARFAX RETURN not on file,TronWeb - Interface
Agent/Agency Email ID configuration check for AZ/PA/FL State,TronWeb - Issue
Receivable Balance - Suspense Accounts 2702000011 & 2702000013,TronWeb - Treasury
"New Problem / 241 / 8001010067667 / CA / AFE / agent adds a 4th car, the 3rd car generates an error: Transaction effective date cannot be prior to today's date.",AFE
Tronweb Claim Suspense Accounts Discrepancies,TronWeb - Reports
TW Account Receivable Discrepancies,TronWeb - Reports
Tronweb commission payable account discrepancy,TronWeb - Reports
"New Problem / 1188 / 6401050011989 / CA / AFE / Agent clicks view confirmation page, for an endt, and gets a page display error",AFE
Docusign Auto Reform Procedure Failing,TronWeb - Issue
6401040088926- removed too much number and was trying to place it back on policy in MAC- getting the attached error message.,TronWeb - Treasury
Policy number 8001010067986 cancellation notice did not print,TronWeb - Treasury
FL TRCF Six month policies should not be increasing more than 14% due to filing changes. ,TronWeb - Issue
Mapfre - 8004010004345 - Annual Premium mismatch in Coverall & MAC,Enterprise Acord Web Services
INC1601972 Not Resolved_Not recieving High Prior BI score when meets criteria ,TronWeb - Issue
July 2018 Month to Date Tronweb Discrepancy Company 52,TronWeb - Reports
TW PRINT - Form number misprint on DEC as 541 and not 514.,TronWeb - Print
TW Issue AZ Quote different than New Business Issue,TronWeb - Issue
TW RAP - 8001080007475 - Prior Rental Table,TronWeb - Issue
AZ Delete Driver - NB Tech Controls Refired at Endorsement,AFE
0106800863991 - Glass Loss mapped to 901 instead of 913,AFE
6401040038813 - System showing a different amount then what the revised dec page is showing ,AFE
TRCF_ Prior Term Prem Calc used for Rate Capping_Not using Global Variables,TronWeb - Issue
8006010019493_Pol should have DNR'd but Withdrawal processed_DNR Rescind_Cxl Notice,TronWeb - Print
TW RECALC process is not working correctly. UPD- Renewals not picking up correct commission chart,TronWeb - Issue
Fw: 6401040074546 Cashier Out of Balance/Manual Refund,TronWeb - Treasury
"New Problem / 206 / 8001010067585 / CA / AFE / Agent gets a page display error on the vehicle screen, when she hits add/update, or next.",AFE
TW Print Issue - system is duplicating the HO EM 2314 HO Enhanced Form on DEC,TronWeb - Print
0101801540087 - AFE Print Error - Annual Quote printing as 6 month term.,AFE
6401030021531_agent made a driver change_TC 572  fired for MVR Accident Agt Selection of Not At Fault ,AFE
New Problem / 778 / 0617800018496 / CA / AFE / Umbrella incorrectly lists a violation from the auto quote.,AFE
INC1611596-8001010031650_Adding MPD Midterm_ getting error,AFE
 8006010026041 pre-renewal tech control defect ,TronWeb - Issue
Unable to open suffixes_ claim 52040718000041_Dept. of Trans and the City of Oakland Park. Attempted in MAC and Tronweb.,MAC - MAPFRE Admin Center
revised RAP level is not showing up in the 2000020 table,TronWeb - Issue
AZ Policy #8001060006197 - 90-Day Rule is not being applied to the policy,TronWeb - Issue
new problem/ca/afe/ca016222/8001010048108/umpd coverage was changed by system not by agent,AFE
STAT - MIC 52 Prem and loss file symbol code coming in as alpha character,TronWeb - Reports
STAT - TW ISO REPORTING MIC80 PREM OOB,TronWeb - Reports
New Problem/AZ031974/AZ/AFE/0106800876013 - Policy # field cannot be filled out,AFE
New Problem / 2893 / 8001010064374 / CA / AFE / Excluding glass coverage does not lower the premium coverage,AFE
new problem/az/afe/az011722/8001060009996/dec page shows vehicle 2 has 'no cov' for road assistance,AFE
ISO Stat Reporting-NCL Production Support- ISO Edit S123,NCL Cover-All - Issue
"TRONWeb data feed issues reporting to ISO, causing issues non-compliance w/ Medicare. Compliance issue= ""Medicare Eligible"" Box not updating",TronWeb - Claims
MAPFRE NCL Policy 8008030009476 Named insured on invoice is printing over the policy # and amount due,TronWeb - Print
Tronweb August 2017 Corporate Premium Report By ASLOB (MMAGC00884) discrepancy,TronWeb - Reports
Interim Bills Not Generating If Prior Interim Bill Has Not Been Paid; ,TronWeb - Treasury
0107522469638 - Unable to navigate past the Vehicle Description screen,AFE
Policy #8001080003931 - VData Inconsistency - Prior BI Sequence Number Issue (impacted RAP),TronWeb - Issue
OOBs on attached Daily Premium spreadsheet,TronWeb - Reports
Incorrect information included on Commission paper copy,TronWeb - Print
0101801711693 - Driving History Page shows Driver & Accident details as twice,AFE
MAC Claims- Suffix Creation error- unable to open RCU suffix for claim 52010718001359 when another RCU exists for same claimant,MAC - MAPFRE Admin Center
MAPFRE NCL Production Support - ASLOBs TW Table A7009999_mma Updates,NCL Cover-All - Issue
STAT - TRONWEB ISO MICFL (52) Paid loss OOB 8-2018,TronWeb - Reports
5201070013320 - Guillermo Tamayo_Prem Incr on Endor_RAP,TronWeb - Issue
ECM - Missing Clue Report,AFE
