short_description,cmdb_ci
Tronweb policies not issuing final bills,TronWeb - Treasury
***Job GC01120 ended abnormally. 08/31/18 06:17:46.,AS400A
8001010017249 Error Message blocking Pay Plan Change to,TronWeb - Endorsements
Weekly Renewal Error 8006170001471_Error during man renw_em_k_cal_factores_mma,TronWeb - Issue
ISO issue with claim 52010716000385,ISO Reporting by Claims Department - CIC
8001010052453 The risk is not located in a current,TronWeb - Issue
64010400060494_Cannot remove from EFT_Error Fatal prvinicio,TronWeb - Issue
***URGENT**** I'm out of balance in my daily register for co.80. This needs to be corrected by end of business today.,TronWeb - Treasury
***Job GC01120 ended abnormally. 01/21/16 04:56:58.,AS400A
Update Incorrect Cause COnsequence Screen is not working Properly,TronWeb - Claims
Patch for claim 64010516001618,TronWeb - Claims
8001010064820  James Bartell_Renewal_Comp and Coll premium increase is excessive ,TronWeb - Issue
8001010004319 Please remove receipt 67655 for 360.49 from the EFT mailbox. A bill plan change is needed.,TronWeb - Treasury
***Job M_GC01120 ended abnormally. 08/01/17 05:17:18.,AS400A
TW System Change Issues,TronWeb - Issue
9 digit VIN- 6401020000260 - short vin needs to go to DMV,TronWeb - Interface
Submit proof of insurance to the DMV for policy:,TronWeb - Interface
Submit proof of insurance to the DMV for policy: 6401040000038,TronWeb - Interface
UNABLE TO VIEW ECM DOCUMENT 8001010012709 -file damaged,AFE
***Job GC01960 ended abnormally. 02/22/18 07:52:36.,AS400A
Tron Web doesn't balance - My TW Step 3 report for CO. 80 doesn't balance for 7/29,TronWeb - Reports
***Job GC00830 ended abnormally. 06/01/16 01:28:27.,AS400A
5201070004662 unable to change mailing address to Canadian receiving ERR (WAITING FOR SCREEN PRINT),TronWeb - Endorsements
"8006010000913  Trying to print a payment order, #900013009078, but it's telling me it's an ",TronWeb - Treasury
Please send proof of SR-22 listed on policy 6401030017546 eric mccoy,TronWeb - Interface
Attachments  for Tronweb Company 80 did not print,TronWeb - Print
Tronweb MMAGC01420 issue reference INC1258324 AND PRB0010529,TronWeb - Treasury
Premium should not be increasing for Pennsylvania Policy# 8001080007509,TronWeb - Issue
Submit SR22 to the DMV for Driver:  Monica Hakola 6401040012734,TronWeb - Interface
"Unable to print claims checks 80 and 64 - error has occurred, quit or suspend ora-20001",TronWeb - Print
"New TW: Prior Claims are displaying incorrectly on the Policy level, instead of just at the Risk Level.",TronWeb
***Job CRTIVANS80 ended abnormally. 11/08/18 12:20:16.,AS400A
6401040005981 Please remove receipt 273469 from the EFT mailbox. Bill plan change is needed.,TronWeb - Treasury
New Problem / CA / AFE New Business / Nation Safe Auto Policy Term Only Showing 6 Month Option / AIDTL124,AFE
Need to fix / patch TW for some Cancellation Problems.,TronWeb
***Job GC01120 ended abnormally. 08/13/16 00:32:13.,AS400A
"New Problem / 2518 / 6401040101116 / CA / AFE / DSS is errored out, for endt to replace a veh",AFE
***Job GC01120 ended abnormally. 10/01/17 06:17:29.,AS400A
CA Home Inspections - Incorrectly sending Log Home value to Myriad,TronWeb - Interface
The following policies were included on the TWAPC Error Report Today,TronWeb - Print
MAC - running really slow,MAC - MAPFRE Admin Center
Submit proof of insurance to the DMV for policy: 6401030003700,TronWeb - Issue
Users were unable to open TronWeb application,TronWeb - Issue
*New Problem/CA/CA Agency Checklist showing Massachusetts as the state,AFE
TronWeb - Incorrect formatting of Agent Phone # ,TronWeb - Print
new problem/afe/ca/ca013960/0601803678209/protection class is pulling incorrectly in quote,AFE
8001010007474 / REMOVE VEHICLE,TronWeb - Issue
8008030007441 - Renewal offer was generated 9 times.,NCL Cover-All - Issue
New Problem / 5201070009016 /FL / AFE / During endorsement when calculate premium getting ORA error.,AFE
TW error - adding vehicle - getting an error that there are more vehicles than primary drivers,TronWeb - Endorsements
***Job PRTCAACK80 ended abnormally. 01/19/14 22:05:27.,TronWeb - Performance
8006010004180 - Renewed with wrong Hazard Score,TronWeb - Renewals
***Job GC01120 ended abnormally. 08/13/15 04:43:38.,AS400A
8001010025117 - an extra $63 is billing on this policy,TronWeb - Treasury
Policy 6401030007390.  Payment due date on this late renewed Renewal Conversion invoice differs from ,TronWeb - Issue
"80010100010595 - image id cards into ecm, there are none listed with the current dec page",TronWeb - Print
INC1560791,AFE
***Job GC01120 ended abnormally. 12/31/16 06:17:44.,AS400A
Slow issues with Tronweb California everyone is reporting its very slow.,TronWeb - Issue
underwriting future cancellation button is missing from TronWeb,TronWeb - Treasury
5201070018568 - update the INSD's mailing address to Canada,TronWeb - Issue
Tronweb 6401040014435 send SR-22 to DMV per agent request ,TronWeb - Issue
New Issue / CA / AFE ECM / Document creation failed.,AFE
***Job FTPEFTSW52 ended abnormally. 04/24/18 00:30:01.,AS400A
Apply the patch to switch the DNS server from MA to AZ for DR testing,AS400A
CURRENT CARRIER - AUTOMATED REJECT REPORT FOR BATCH NO - 132191168,TronWeb - Interface
NON-EXISTENT CODE ERROR MESSAGE WHEN I CLICK ON FINISH BUTTON WHILE PROCESSING ENDR.,TronWeb - Issue
Tronweb SR22 pol 6401040008834 Kevin Silva,TronWeb - Interface
CA / AFE Declarations / Updated Declaration Pages are,AFE
"When entering a quote through AFE, the economic endorsement is not applying the discount, but is in TronWeb",TronWeb - Issue
Company 52 was already closed for 4/3/2017,TronWeb
"Unable to log into TW. CMD prompt stuck on ""wW""",TronWeb - Issue
6401040049705 poi,TronWeb - Interface
2/20 CWIC & MIC Tronweb Credit Card Pymts Posted Again,TronWeb
***Job EM00070 ended abnormally. 09/15/16 01:41:05.,AS400A
Tronweb Policy Number: 6401020031983- application not in ECM,TronWeb - Print
***Job GC01120 ended abnormally. 08/22/17 06:17:23.,AS400A
8001080007894 Thomas Elsasser. -  attempting a manual renewal to change the BOR to 3240. I cannot get the premium to match @ $641.00.,TronWeb - Issue
